M	P	NP	Time
160	1600	2	0.004053
160	1600	2	0.004290
160	1600	2	0.003798
160	1600	2	0.003857
160	1600	2	0.004296
160	1600	2	0.004156
160	1600	3	0.003233
160	1600	3	0.003790
160	1600	3	0.003217
160	1600	3	0.003590
160	1600	3	0.003335
160	1600	3	0.003255
160	1600	3	0.003365
160	1600	3	0.004051
160	1600	3	0.003534
160	1600	3	0.004019
160	1600	4	0.003377
160	1600	4	0.003474
160	1600	4	0.003283
160	1600	4	0.003461
160	1600	4	0.004521
160	1600	4	0.003505
160	1600	4	0.003336
160	1600	4	0.004225
160	1600	4	0.003416
160	1600	4	0.003157
160	1600	5	0.003460
160	1600	5	0.003348
160	1600	5	0.003980
160	1600	5	0.003498
160	1600	5	0.004157
160	1600	5	0.003804
160	1600	5	0.004509
160	1600	5	0.003534
160	1600	5	0.003221
160	1600	5	0.004336
160	1600	6	0.004374
160	1600	6	0.004136
160	1600	6	0.004080
160	1600	6	0.003647
160	1600	6	0.004399
160	1600	6	0.003747
160	1600	6	0.004295
160	1600	6	0.004573
160	1600	6	0.005217
160	1600	6	0.003942
160	1600	7	0.003573
160	1600	7	0.003843
160	1600	7	0.003928
160	1600	7	0.004567
160	1600	7	0.004727
160	1600	7	0.003925
160	1600	7	0.004994
160	1600	7	0.004340
160	1600	7	0.004569
160	1600	7	0.004328
160	1600	8	0.005954
160	1600	8	0.005234
160	1600	8	0.005372
160	1600	8	0.006064
160	1600	8	0.005291
160	1600	8	0.005186
160	1600	8	0.004900
160	1600	8	0.005923
160	1600	8	0.005790
160	1600	8	0.005140
160	1600	9	0.006914
160	1600	9	0.005136
160	1600	9	0.006545
160	1600	9	0.005713
160	1600	9	0.005297
160	1600	9	0.005061
160	1600	9	0.005135
160	1600	9	0.005762
160	1600	9	0.004396
160	1600	9	0.004727
160	1600	10	0.005102
160	1600	10	0.005147
160	1600	10	0.005474
160	1600	10	0.005619
160	1600	10	0.005605
160	1600	10	0.004957
160	1600	10	0.005539
160	1600	10	0.006282
160	1600	10	0.006404
160	1600	10	0.005520
160	1600	11	0.007537
160	1600	11	0.008464
160	1600	11	0.006089
160	1600	11	0.006046
160	1600	11	0.007648
160	1600	11	0.007673
160	1600	11	0.005883
160	1600	11	0.007323
160	1600	11	0.006702
160	1600	11	0.008001
160	1600	12	0.006477
160	1600	12	0.006090
160	1600	12	0.007329
160	1600	12	0.006588
160	1600	12	0.007060
160	1600	12	0.007218
160	1600	12	0.006495
160	1600	12	0.007061
160	1600	12	0.006696
160	1600	12	0.005873
160	1600	13	0.006955
160	1600	13	0.006790
160	1600	13	0.007158
160	1600	13	0.006665
160	1600	13	0.006797
160	1600	13	0.006942
160	1600	13	0.007502
160	1600	13	0.006428
160	1600	13	0.007997
160	1600	13	0.008219
160	1600	14	0.007581
160	1600	14	0.008191
160	1600	14	0.007521
160	1600	14	0.007491
160	1600	14	0.006854
160	1600	14	0.008098
160	1600	14	0.006766
160	1600	14	0.007320
160	1600	14	0.006698
160	1600	14	0.007665
160	1600	15	0.007837
160	1600	15	0.009775
160	1600	15	0.007761
160	1600	15	0.008722
160	1600	15	0.009091
160	1600	15	0.008744
160	1600	15	0.007329
160	1600	15	0.009266
160	1600	15	0.008141
160	1600	15	0.006676
160	1600	16	0.009666
160	1600	16	0.009592
160	1600	16	0.011620
160	1600	16	0.011112
160	1600	16	0.007858
160	1600	16	0.011189
160	1600	16	0.009059
160	1600	16	0.012183
160	1600	16	0.009203
160	1600	16	0.009382
1600	16	1	0.000485
1600	16	1	0.000543
1600	16	1	0.000483
1600	16	1	0.000491
1600	16	1	0.000493
1600	16	1	0.000495
1600	16	1	0.000723
1600	16	1	0.000479
1600	16	1	0.000504
1600	16	1	0.000504
1600	16	2	0.000573
1600	16	2	0.000632
1600	16	2	0.000565
1600	16	2	0.000703
1600	16	2	0.000731
1600	16	2	0.000521
1600	16	2	0.000554
1600	16	2	0.000720
1600	16	2	0.000603
1600	16	2	0.000849
1600	16	3	0.000844
1600	16	3	0.000595
1600	16	3	0.000648
1600	16	3	0.000550
1600	16	3	0.001005
1600	16	3	0.000545
1600	16	3	0.000910
1600	16	3	0.000615
1600	16	3	0.000986
1600	16	3	0.000893
1600	16	4	0.001065
1600	16	4	0.000864
1600	16	4	0.001097
1600	16	4	0.001638
1600	16	4	0.001265
1600	16	4	0.001675
1600	16	4	0.000735
1600	16	4	0.000788
1600	16	4	0.001056
1600	16	4	0.001071
1600	16	5	0.001781
1600	16	5	0.001107
1600	16	5	0.000919
1600	16	5	0.001388
1600	16	5	0.001401
1600	16	5	0.001378
1600	16	5	0.001310
1600	16	5	0.001186
1600	16	5	0.001208
1600	16	5	0.002472
1600	16	6	0.002476
1600	16	6	0.001379
1600	16	6	0.002242
1600	16	6	0.001459
1600	16	6	0.001575
1600	16	6	0.001709
1600	16	6	0.001429
1600	16	6	0.001276
1600	16	6	0.001261
1600	16	6	0.002280
1600	16	7	0.002450
1600	16	7	0.002779
1600	16	7	0.002920
1600	16	7	0.001535
1600	16	7	0.001365
1600	16	7	0.001504
1600	16	7	0.001473
1600	16	7	0.001222
1600	16	7	0.001643
1600	16	7	0.001368
1600	16	8	0.001612
1600	16	8	0.002204
1600	16	8	0.001391
1600	16	8	0.001854
1600	16	8	0.001440
1600	16	8	0.002261
1600	16	8	0.001435
1600	16	8	0.001741
1600	16	8	0.001650
1600	16	8	0.001943
1600	16	9	0.001762
1600	16	9	0.001918
1600	16	9	0.002736
1600	16	9	0.001748
1600	16	9	0.001774
1600	16	9	0.001915
1600	16	9	0.002049
1600	16	9	0.002087
1600	16	9	0.002068
1600	16	9	0.002442
1600	16	10	0.003319
1600	16	10	0.001738
1600	16	10	0.001482
1600	16	10	0.001857
1600	16	10	0.002608
1600	16	10	0.001827
1600	16	10	0.002310
1600	16	10	0.001952
1600	16	10	0.002113
1600	16	10	0.002902
1600	16	11	0.004821
1600	16	11	0.002032
1600	16	11	0.001667
1600	16	11	0.001680
1600	16	11	0.002057
1600	16	11	0.002294
1600	16	11	0.001710
1600	16	11	0.002125
1600	16	11	0.003715
1600	16	11	0.001767
1600	16	12	0.001902
1600	16	12	0.002835
1600	16	12	0.002439
1600	16	12	0.001924
1600	16	12	0.002595
1600	16	12	0.004456
1600	16	12	0.002226
1600	16	12	0.004034
1600	16	12	0.002225
1600	16	12	0.002777
1600	16	13	0.002453
1600	16	13	0.002438
1600	16	13	0.001925
1600	16	13	0.002504
1600	16	13	0.002090
1600	16	13	0.003328
1600	16	13	0.002611
1600	16	13	0.004542
1600	16	13	0.002928
1600	16	13	0.002423
1600	16	14	0.002118
1600	16	14	0.002024
1600	16	14	0.003198
1600	16	14	0.002206
1600	16	14	0.002151
1600	16	14	0.002619
1600	16	14	0.002422
1600	16	14	0.002234
1600	16	14	0.002357
1600	16	14	0.002263
1600	16	15	0.002146
1600	16	15	0.004385
1600	16	15	0.002655
1600	16	15	0.002323
1600	16	15	0.002303
1600	16	15	0.002528
1600	16	15	0.002904
1600	16	15	0.002289
1600	16	15	0.002492
1600	16	15	0.002274
1600	16	16	0.002320
1600	16	16	0.002816
1600	16	16	0.003243
1600	16	16	0.002452
1600	16	16	0.002613
1600	16	16	0.002627
1600	16	16	0.002621
1600	16	16	0.002939
1600	16	16	0.002613
1600	16	16	0.006422
1600	160	1	0.004720
1600	160	1	0.004931
1600	160	1	0.004733
1600	160	1	0.004848
1600	160	1	0.004822
1600	160	1	0.004759
1600	160	1	0.004677
1600	160	1	0.006196
1600	160	1	0.004784
1600	160	1	0.004787
1600	160	2	0.002825
1600	160	2	0.002791
1600	160	2	0.003013
1600	160	2	0.002906
1600	160	2	0.002806
1600	160	2	0.004508
1600	160	2	0.002795
1600	160	2	0.002782
1600	160	2	0.002770
1600	160	2	0.002793
1600	160	3	0.002445
1600	160	3	0.002726
1600	160	3	0.003214
1600	160	3	0.002107
1600	160	3	0.002439
1600	160	3	0.002195
1600	160	3	0.002270
1600	160	3	0.002258
1600	160	3	0.002343
1600	160	3	0.003201
1600	160	4	0.001962
1600	160	4	0.002299
1600	160	4	0.002378
1600	160	4	0.003540
1600	160	4	0.002994
1600	160	4	0.002093
1600	160	4	0.002168
1600	160	4	0.002830
1600	160	4	0.002127
1600	160	4	0.001978
1600	160	5	0.002285
1600	160	5	0.002245
1600	160	5	0.002970
1600	160	5	0.002585
1600	160	5	0.002059
1600	160	5	0.002056
1600	160	5	0.002245
1600	160	5	0.003209
1600	160	5	0.003021
1600	160	5	0.002867
1600	160	6	0.004120
1600	160	6	0.003121
1600	160	6	0.002293
1600	160	6	0.003438
1600	160	6	0.002739
1600	160	6	0.002302
1600	160	6	0.002373
1600	160	6	0.002830
1600	160	6	0.003211
1600	160	6	0.003533
1600	160	7	0.002857
1600	160	7	0.002217
1600	160	7	0.002636
1600	160	7	0.003415
1600	160	7	0.002816
1600	160	7	0.002432
1600	160	7	0.004210
1600	160	7	0.002490
1600	160	7	0.002947
1600	160	7	0.003386
1600	160	8	0.003268
1600	160	8	0.002962
1600	160	8	0.002999
1600	160	8	0.003282
1600	160	8	0.002813
1600	160	8	0.003264
1600	160	8	0.003084
1600	160	8	0.002663
1600	160	8	0.002855
1600	160	8	0.003011
1600	160	9	0.003026
1600	160	9	0.003179
1600	160	9	0.002774
1600	160	9	0.003580
1600	160	9	0.003348
1600	160	9	0.003855
1600	160	9	0.002975
1600	160	9	0.003068
